Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10722,19465696.58,15174644.99
Sucursal Norte,Fanta,2020,1,2060,3938511.63,3077567.07
Sucursal Norte,Sprite,2020,1,7723,13320444.81,8705738.6
Sucursal Norte,7 Up,2020,1,957,1446785.67,1041645.55
Sucursal Norte,Pepsi,2020,1,7820,12113603.95,9296204.51
Sucursal Centro,Coca Cola,2020,1,9954,20652904.02,13038188.15
Sucursal Centro,Fanta,2020,1,1864,3208568.2,2255678.1
Sucursal Centro,Sprite,2020,1,8412,17296104.77,13022033.25
Sucursal Centro,7 Up,2020,1,905,1262173.11,781935.66
Sucursal Centro,Pepsi,2020,1,8336,14701866.89,10912067.52
Sucursal Sur,Coca Cola,2020,1,10798,20531177.1,15144349.59
Sucursal Sur,Fanta,2020,1,1865,3432927.32,2428060.28
Sucursal Sur,Sprite,2020,1,8355,16341202.37,12876793.07
Sucursal Sur,7 Up,2020,1,1080,1713901.61,1215122.28
Sucursal Sur,Pepsi,2020,1,8682,16206124.44,11304791.64
Sucursal Norte,Coca Cola,2020,2,9392,19699499.64,14610704.69
Sucursal Norte,Fanta,2020,2,1928,3464815.87,2463391.32
Sucursal Norte,Sprite,2020,2,7432,13486048.6,9267407.21
Sucursal Norte,7 Up,2020,2,1040,1714659.48,1238677.37
Sucursal Norte,Pepsi,2020,2,7247,11168547.46,8733947.57
Sucursal Centro,Coca Cola,2020,2,9581,20535484.2,15898192.88
Sucursal Centro,Fanta,2020,2,2126,3480386.96,2296788.63
Sucursal Centro,Sprite,2020,2,7932,14650596.38,8922083.39
Sucursal Centro,7 Up,2020,2,984,1434598.83,898450.77
Sucursal Centro,Pepsi,2020,2,8266,13375838.19,9822320.68
Sucursal Sur,Coca Cola,2020,2,9473,18737842.09,11632294.21
Sucursal Sur,Fanta,2020,2,2116,3698662.88,2928399.45
Sucursal Sur,Sprite,2020,2,7757,15264382.89,9432664.97
Sucursal Sur,7 Up,2020,2,1065,1567407.86,1241705.03
Sucursal Sur,Pepsi,2020,2,7250,12313707.91,7619080.32
Sucursal Norte,Coca Cola,2020,3,9356,17009983.14,12666881.3
Sucursal Norte,Fanta,2020,3,1864,3126335.78,2329483.57
Sucursal Norte,Sprite,2020,3,8266,15345891.82,12060563.85
Sucursal Norte,7 Up,2020,3,933,1490594.0,1063693.11
Sucursal Norte,Pepsi,2020,3,8222,13319548.19,9502386.85
Sucursal Centro,Coca Cola,2020,3,10514,21977988.6,14983402.74
Sucursal Centro,Fanta,2020,3,1920,3522964.19,2210749.8
Sucursal Centro,Sprite,2020,3,8021,15927751.02,9921671.24
Sucursal Centro,7 Up,2020,3,1090,1723630.48,1276175.14
Sucursal Centro,Pepsi,2020,3,8599,14772805.56,11652028.22
Sucursal Sur,Coca Cola,2020,3,9715,18376769.23,11534279.36
Sucursal Sur,Fanta,2020,3,2198,4282105.77,2822137.65
Sucursal Sur,Sprite,2020,3,7805,13493395.54,9560008.97
Sucursal Sur,7 Up,2020,3,1048,1613808.12,980303.91
Sucursal Sur,Pepsi,2020,3,7493,13980424.0,9883700.69
Sucursal Norte,Coca Cola,2020,4,10078,21703200.57,16187215.48
