Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,5000,15987096.36,9756048.73
Sucursal Norte,Merlot,2020,1,4250,11159889.49,8829417.18
Sucursal Norte,Pinot Noir,2020,1,3090,11562833.26,7041480.42
Sucursal Norte,Chardonnay,2020,1,4507,11403388.75,8028014.76
Sucursal Norte,Sauvignon Blanc,2020,1,3620,9221594.89,7214528.21
Sucursal Centro,Cabernet Sauvignon,2020,1,5190,15140463.51,11911845.13
Sucursal Centro,Merlot,2020,1,4269,10807513.89,6625032.08
Sucursal Centro,Pinot Noir,2020,1,3226,10184344.09,6957565.32
Sucursal Centro,Chardonnay,2020,1,4283,12796945.6,9160022.17
Sucursal Centro,Sauvignon Blanc,2020,1,3210,7798286.3,5847033.14
Sucursal Sur,Cabernet Sauvignon,2020,1,4643,12876775.32,9561583.54
Sucursal Sur,Merlot,2020,1,3917,9448838.29,6627440.36
Sucursal Sur,Pinot Noir,2020,1,2776,9490298.84,7331324.42
Sucursal Sur,Chardonnay,2020,1,4930,14913823.02,9731736.94
Sucursal Sur,Sauvignon Blanc,2020,1,3682,9796287.8,6291854.04
Sucursal Norte,Cabernet Sauvignon,2020,2,4619,12597373.29,9707874.3
Sucursal Norte,Merlot,2020,2,3614,8907645.11,6593704.42
Sucursal Norte,Pinot Noir,2020,2,2842,10478992.69,8215486.85
Sucursal Norte,Chardonnay,2020,2,4091,11356230.04,8813514.23
Sucursal Norte,Sauvignon Blanc,2020,2,3477,8259880.66,5894357.79
Sucursal Centro,Cabernet Sauvignon,2020,2,5162,15056398.5,10759176.41
Sucursal Centro,Merlot,2020,2,4022,9757020.51,6976606.47
Sucursal Centro,Pinot Noir,2020,2,2873,10987040.88,7806259.05
Sucursal Centro,Chardonnay,2020,2,4637,11770425.51,8853131.77
Sucursal Centro,Sauvignon Blanc,2020,2,3433,8289462.09,5158760.45
Sucursal Sur,Cabernet Sauvignon,2020,2,4728,15248757.3,11041489.99
Sucursal Sur,Merlot,2020,2,4212,10004146.75,6153172.23
Sucursal Sur,Pinot Noir,2020,2,2809,9739874.39,7262262.02
Sucursal Sur,Chardonnay,2020,2,4241,11564592.69,8130945.71
Sucursal Sur,Sauvignon Blanc,2020,2,3598,8789702.23,6902690.61
