Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,9725,20795301.96,15497329.85
Sucursal Norte,Fanta,2020,1,1955,3186704.27,2003878.62
Sucursal Norte,Sprite,2020,1,7305,14864214.51,9709939.4
Sucursal Norte,7 Up,2020,1,992,1589212.04,1266469.02
Sucursal Norte,Pepsi,2020,1,8661,14475103.98,10682560.2
Sucursal Centro,Coca Cola,2020,1,10915,21223317.31,13085828.39
Sucursal Centro,Fanta,2020,1,1955,3402137.18,2154487.55
Sucursal Centro,Sprite,2020,1,8268,14896350.04,11784669.11
Sucursal Centro,7 Up,2020,1,923,1369755.64,1012337.2
Sucursal Centro,Pepsi,2020,1,7976,14789216.76,9152514.54
Sucursal Sur,Coca Cola,2020,1,9708,20079045.13,13931608.61
Sucursal Sur,Fanta,2020,1,2084,3484428.85,2327553.06
Sucursal Sur,Sprite,2020,1,7453,15138808.27,10279451.78
Sucursal Sur,7 Up,2020,1,1021,1507763.71,1147712.55
Sucursal Sur,Pepsi,2020,1,7468,11944280.79,8575152.86
Sucursal Norte,Coca Cola,2020,2,9975,21549917.72,13816780.56
Sucursal Norte,Fanta,2020,2,1849,3242254.13,2551380.12
Sucursal Norte,Sprite,2020,2,7788,16191696.43,11988757.22
Sucursal Norte,7 Up,2020,2,1091,1766844.33,1400003.92
Sucursal Norte,Pepsi,2020,2,7507,11988654.55,8443149.18
Sucursal Centro,Coca Cola,2020,2,9680,17574589.59,13525163.18
Sucursal Centro,Fanta,2020,2,1981,3217609.69,2022816.4
Sucursal Centro,Sprite,2020,2,7791,14083660.72,10078930.37
Sucursal Centro,7 Up,2020,2,978,1521133.29,1061238.84
Sucursal Centro,Pepsi,2020,2,8343,13025709.85,9420314.49
Sucursal Sur,Coca Cola,2020,2,9872,18695576.97,13534228.66
Sucursal Sur,Fanta,2020,2,1864,3146156.92,2082248.49
Sucursal Sur,Sprite,2020,2,7414,14796196.89,10316405.16
Sucursal Sur,7 Up,2020,2,917,1249926.59,940586.89
Sucursal Sur,Pepsi,2020,2,8119,13774725.85,10841553.07
Sucursal Norte,Coca Cola,2020,3,10757,22901590.13,15336503.99
Sucursal Norte,Fanta,2020,3,1866,3168766.44,2169677.2
Sucursal Norte,Sprite,2020,3,8622,17185279.99,11648818.76
Sucursal Norte,7 Up,2020,3,975,1496101.56,925560.77
Sucursal Norte,Pepsi,2020,3,7912,14047318.96,8430462.47
Sucursal Centro,Coca Cola,2020,3,10382,19586990.26,14744293.27
Sucursal Centro,Fanta,2020,3,2159,3999424.57,3139653.19
Sucursal Centro,Sprite,2020,3,8613,17317044.66,10887395.15
Sucursal Centro,7 Up,2020,3,947,1325580.8,858785.28
Sucursal Centro,Pepsi,2020,3,8466,15620524.8,10222390.26
Sucursal Sur,Coca Cola,2020,3,9029,17965068.66,12223894.22
Sucursal Sur,Fanta,2020,3,2011,3478688.71,2279982.93
Sucursal Sur,Sprite,2020,3,8770,16740779.81,12412691.67
Sucursal Sur,7 Up,2020,3,1093,1638358.65,1017610.31
Sucursal Sur,Pepsi,2020,3,8367,14227780.67,9358916.3
Sucursal Norte,Coca Cola,2020,4,10352,18683405.37,14316721.88
Sucursal Norte,Fanta,2020,4,2114,3700666.94,2541138.09
Sucursal Norte,Sprite,2020,4,7208,14390201.33,9097300.15
Sucursal Norte,7 Up,2020,4,960,1433361.92,1074042.89
Sucursal Norte,Pepsi,2020,4,7319,13120357.98,8080262.65
Sucursal Centro,Coca Cola,2020,4,10434,21969245.69,15406812.42
Sucursal Centro,Fanta,2020,4,1920,3594427.18,2820755.88
Sucursal Centro,Sprite,2020,4,8514,15343638.44,9368656.38
Sucursal Centro,7 Up,2020,4,945,1508785.4,1004550.0
Sucursal Centro,Pepsi,2020,4,8269,13649057.8,9748038.22
Sucursal Sur,Coca Cola,2020,4,9576,18111633.89,14132959.92
