Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,5459,16262130.85,10634827.38
Sucursal Norte,Merlot,2020,1,4044,10465074.33,8093801.34
Sucursal Norte,Pinot Noir,2020,1,3178,11020385.06,8672170.97
Sucursal Norte,Chardonnay,2020,1,4547,13036198.62,9897883.61
Sucursal Norte,Sauvignon Blanc,2020,1,3806,9429340.69,5667115.48
Sucursal Centro,Cabernet Sauvignon,2020,1,4676,13348073.14,10551965.51
Sucursal Centro,Merlot,2020,1,4261,10130325.27,7264088.34
Sucursal Centro,Pinot Noir,2020,1,2770,9720995.12,7769667.84
Sucursal Centro,Chardonnay,2020,1,4795,13209340.22,10541823.83
Sucursal Centro,Sauvignon Blanc,2020,1,3693,9586268.17,6916239.24
Sucursal Sur,Cabernet Sauvignon,2020,1,5164,14139865.99,8515980.5
Sucursal Sur,Merlot,2020,1,4012,9588626.47,6976530.78
Sucursal Sur,Pinot Noir,2020,1,3110,11387832.88,7113150.92
Sucursal Sur,Chardonnay,2020,1,4486,12530589.39,9136333.58
Sucursal Sur,Sauvignon Blanc,2020,1,3167,8048308.61,6208574.63
Sucursal Norte,Cabernet Sauvignon,2020,2,5339,15557281.16,11038034.88
Sucursal Norte,Merlot,2020,2,4103,10005947.6,6599436.72
Sucursal Norte,Pinot Noir,2020,2,3244,11530024.81,7263021.44
Sucursal Norte,Chardonnay,2020,2,4175,10792479.42,8444120.81
Sucursal Norte,Sauvignon Blanc,2020,2,3191,8217310.08,5507919.42
Sucursal Centro,Cabernet Sauvignon,2020,2,5172,16860063.45,12584201.2
Sucursal Centro,Merlot,2020,2,4395,12077073.42,7714502.98
Sucursal Centro,Pinot Noir,2020,2,2982,11174321.4,8058860.87
Sucursal Centro,Chardonnay,2020,2,4328,11550137.03,8569104.69
Sucursal Centro,Sauvignon Blanc,2020,2,3779,8944137.57,6791265.48
Sucursal Sur,Cabernet Sauvignon,2020,2,5387,16475757.28,12205455.51
Sucursal Sur,Merlot,2020,2,3630,9369603.4,6582280.34
Sucursal Sur,Pinot Noir,2020,2,2953,10004364.38,7794281.17
Sucursal Sur,Chardonnay,2020,2,4222,12673320.05,8615988.77
Sucursal Sur,Sauvignon Blanc,2020,2,3715,9046276.75,5667184.12
Sucursal Norte,Cabernet Sauvignon,2020,3,5156,14264493.48,10007145.15
Sucursal Norte,Merlot,2020,3,3868,10070950.45,6783747.94
Sucursal Norte,Pinot Noir,2020,3,2793,10513475.14,6310239.04
Sucursal Norte,Chardonnay,2020,3,4275,11270678.64,8255791.65
Sucursal Norte,Sauvignon Blanc,2020,3,3752,8890683.35,5859911.0
Sucursal Centro,Cabernet Sauvignon,2020,3,5209,16820695.69,11258927.63
Sucursal Centro,Merlot,2020,3,4212,10964916.34,7494941.49
Sucursal Centro,Pinot Noir,2020,3,2813,10028167.62,7794175.28
Sucursal Centro,Chardonnay,2020,3,4644,12654614.47,8130023.39
Sucursal Centro,Sauvignon Blanc,2020,3,3718,9102534.89,6116052.71
Sucursal Sur,Cabernet Sauvignon,2020,3,4642,14533249.16,9415229.66
Sucursal Sur,Merlot,2020,3,3995,10394262.56,7227214.24
Sucursal Sur,Pinot Noir,2020,3,2813,10506634.12,7805786.98
Sucursal Sur,Chardonnay,2020,3,4422,11445192.91,7538723.61
Sucursal Sur,Sauvignon Blanc,2020,3,3448,9095276.17,5502334.8
Sucursal Norte,Cabernet Sauvignon,2020,4,5350,15765163.5,10598323.51
